"Variable","Preproc","mtry","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"Al","Raw Spectra",2,23788.4902842195,0.460332390216959,17090.7305638889,19528.6119987124,0.36848479236337,11462.0425330762
"Al","Standard Normal Variate",2,21560.6325269984,0.412362868094456,15919.1253722222,17570.6727981891,0.378400486562824,9765.16685392519
"Al","Continuum Removal",1499,19151.3350896512,0.632219817246013,15272.7773194445,17483.953372714,0.260360467132103,11359.5970974517
"Al","Detrend normalization",2,21903.4101826166,0.577836647881898,17069.3653388889,17751.9355361911,0.306635788488265,11260.0655084402
"Al","Savitzky-Golay",1491,21435.6021444364,0.436279999613845,16902.36445,18501.0625284116,0.332401734751979,11512.8667568415
"Al","Multiplicative Scatter Correction",1499,19615.0575498157,0.44330503246122,15276.6128722222,16524.3447572663,0.342542950082673,11516.8842783225
"Fe","Raw Spectra",1499,11929.9165494058,0.33932576455512,9982.08290916667,3979.90416601554,0.442987456687318,2559.83463199822
"Fe","Standard Normal Variate",2,11361.2823111599,0.30495946924613,9438.84039972222,4958.64987180991,0.338443947029943,4098.18408592737
"Fe","Continuum Removal",2,11432.6022766819,0.543074446071486,9473.86053555555,5046.5546974301,0.321315545995609,3618.68542708148
"Fe","Detrend normalization",2,11185.0830487461,0.456127353222908,9023.78063083333,4376.36320629413,0.341143351016393,3187.83222481821
"Fe","Savitzky-Golay",2,10814.7536165572,0.380555848478776,8568.77195138889,4103.80086571447,0.403270162409794,2841.01250451601
"Fe","Multiplicative Scatter Correction",54,10518.6826969658,0.489115519338428,9185.29135527778,5861.7900756826,0.357582905459517,4849.40371708819
"Mn","Raw Spectra",1499,129.086556246854,0.606531168128158,110.246381319444,45.8144426300771,0.367909408314207,47.1504879561462
"Mn","Standard Normal Variate",54,148.237667284505,0.641653819272587,126.836484888889,56.9647283974621,0.378813583060296,52.2317240141503
"Mn","Continuum Removal",1499,124.946661927376,0.582517263901506,106.523411736111,39.1126630821156,0.350721609502867,31.6403049314242
"Mn","Detrend normalization",2,136.091872153923,0.683563847806473,119.287579555556,58.9556359593023,0.338081487185706,55.7402041234172
"Mn","Savitzky-Golay",2,140.283172519037,0.656061474192093,124.518940958333,45.1475815191298,0.367139682477162,40.3498281867678
"Mn","Multiplicative Scatter Correction",2,150.797731785811,0.477266719772188,127.552690263889,44.0749901444565,0.331704557942759,46.6280809708517
"Th","Raw Spectra",2,10.9729943700242,0.473538686258345,8.67391428055556,6.50609084415067,0.371472361509134,3.94372184629024
"Th","Standard Normal Variate",1499,10.7290396770851,0.559858807031559,8.17761209166667,5.94849668527909,0.458165909408334,4.08290674512172
"Th","Continuum Removal",54,8.93229336625876,0.609913939953143,7.47811970833333,7.44222318849408,0.432571039080668,6.10607569940569
"Th","Detrend normalization",2,9.40503321732276,0.5796853347031,7.17785538611111,5.83272539265095,0.407384686450308,3.9598805692726
"Th","Savitzky-Golay",1491,9.20066276570517,0.736535519279792,7.46188171944445,7.69004860918275,0.329056123518012,5.57836595174822
"Th","Multiplicative Scatter Correction",1499,8.52504928097214,0.594426219186852,7.11322183888889,5.72397679538526,0.323092767726539,4.14219960003322
"Ti","Raw Spectra",1499,1697.95572290351,0.506676974871501,1351.09763722222,1117.02098472468,0.425047034364154,930.026551893366
"Ti","Standard Normal Variate",2,1559.93183923944,0.49292491624428,1234.13502986111,1032.29957533726,0.3991827470283,764.18101030468
"Ti","Continuum Removal",2,1470.51847759746,0.54749306600374,1176.63143180556,1116.64864968448,0.400847921615234,835.923793579813
"Ti","Detrend normalization",2,1471.12386791449,0.509191677278066,1281.01978284722,1318.78523644626,0.437628592215604,1239.49683936888
"Ti","Savitzky-Golay",2,1525.8271087848,0.493652598495924,1250.19127125,1051.86386202528,0.365059296741532,846.823685262147
"Ti","Multiplicative Scatter Correction",2,1696.87423485257,0.493597631441739,1272.65820944444,782.092282057319,0.363395537108772,494.00460922839
"V","Raw Spectra",1499,21.7878947103261,0.301612685746065,18.5445995416667,9.67409664775986,0.292720195712306,7.97092753750388
"V","Standard Normal Variate",2,20.1171881277879,0.554750994512761,16.7347070694444,12.0881185507072,0.342289503981352,9.67121979209316
"V","Continuum Removal",2,22.9425479374952,0.555946550730638,17.5934543055555,8.34274734540809,0.314823588503138,5.74145406702681
"V","Detrend normalization",2,20.1513867516151,0.544093355996214,16.357642625,10.4010231525024,0.379114897171345,8.18566676940645
"V","Savitzky-Golay",1491,20.9817522596519,0.445464387731876,17.1085622222222,12.5766551673144,0.377118049476989,10.0892714153008
"V","Multiplicative Scatter Correction",54,20.7233235918048,0.440148809306097,17.0988581527778,12.5632829534869,0.305073576835618,9.78984458219458
